modelId,params_B,size_GB
Qwen/Qwen3-4B-Base,4.0,7.49
Qwen/Qwen3-8B,8.2,15.26
Qwen/Qwen3-8B-Base,8.2,15.26
meta-llama/Llama-3.2-1B,1.2,2.30
Qwen/Qwen3-1.7B,2.0,3.78
openai/gpt-oss-20b,21.5,38.44
AIDC-AI/Ovis2-4B,4.6,8.60
google-t5/t5-3b,2.9,21.25
Qwen/Qwen3-4B,4.0,7.49
Qwen/Qwen2.5-7B,7.6,14.19
google/gemma-2-2b,2.6,9.74
microsoft/phi-2,2.8,5.18
meta-llama/Llama-3.1-8B,8.0,14.96
HuggingFaceTB/SmolLM3-3B,3.1,5.73
Qwen/Qwen3-32B-AWQ,5.7,18.00
meta-llama/Llama-2-7b-hf,6.7,25.10
Qwen/Qwen3-14B,14.8,27.51
microsoft/phi-4,14.7,27.31
meta-llama/Meta-Llama-3-8B,8.0,14.96
mistralai/Mistral-7B-v0.1,7.2,27.47
AIDC-AI/Ovis2-1B,1.3,2.36
Qwen/Qwen2.5-1.5B,1.5,2.88
Qwen/Qwen3-Embedding-8B,7.6,14.10
bigcode/starcoderbase-1b,1.1,8.47
meta-llama/Llama-Guard-3-8B,8.0,14.96
meta-llama/Llama-3.2-3B,3.2,5.98
bigcode/starcoder2-3b,3.0,11.29
Qwen/Qwen2.5-14B,14.8,27.51
google/gemma-2b,2.5,14.01
Qwen/Qwen2.5-3B,3.1,5.75
ibm-research/PowerMoE-3b,3.4,12.57
Qwen/Qwen3-Embedding-4B,4.0,7.49
Qwen/Qwen2.5-Coder-1.5B,1.5,2.88
EleutherAI/gpt-neo-1.3B,1.4,9.90
Qwen/Qwen2.5-Math-1.5B,1.5,2.88
HuggingFaceTB/SmolLM-1.7B,1.7,6.38
Qwen/Qwen3-1.7B-Base,1.7,3.20
google/gemma-7b,8.5,47.72
vikhyatk/moondream2,1.9,3.59
microsoft/phi-1_5,1.4,2.64
Qwen/Qwen2.5-Math-7B,7.6,14.19
Qwen/Qwen2-1.5B,1.5,2.88
numind/NuExtract-1.5,3.8,7.12
Qwen/Qwen3-14B-AWQ,3.3,9.29
DAMO-NLP-SG/VideoLLaMA3-7B,8.0,14.98
unsloth/phi-4,14.7,27.31
Qwen/Qwen1.5-7B,7.7,14.38
tiiuae/falcon-7b,7.2,26.89
AIDC-AI/Ovis2-8B,8.9,16.64
google/gemma-2-9b,9.2,34.43
Qwen/Qwen3-14B-Base,14.8,27.51
huggyllama/llama-7b,6.7,25.10
AIDC-AI/Ovis2-16B,16.2,30.16
meta-llama/Llama-2-13b-hf,13.0,48.49
Qwen/Qwen2-7B,7.6,14.19
EleutherAI/pythia-1b,1.1,3.89
Qwen/Qwen1.5-1.8B,1.8,3.42
Qwen/Qwen3-8B-FP8,8.2,8.79
kyutai/helium-1-2b,2.0,3.77
Qwen/Qwen1.5-14B,14.2,26.39
bigcode/starcoder2-7b,7.2,13.36
tiiuae/falcon-11B,11.1,20.68
unsloth/Llama-3.2-1B,1.2,2.30
vikhyatk/moondream1,1.9,17.55
SakanaAI/TinySwallow-1.5B,1.5,2.88
Qwen/Qwen3-14B-FP8,14.8,15.21
defog/sqlcoder-7b-2,6.7,17.01
Qwen/Qwen3-Reranker-4B,4.0,7.49
Qwen/Qwen1.5-MoE-A2.7B,14.3,26.67
Qwen/Qwen3-8B-AWQ,2.2,5.68
unsloth/Llama-3.2-3B,3.2,5.98
hmellor/Ilama-3.2-1B,1.2,4.60
pfnet/plamo-2-1b,1.3,4.81
meta-llama/Llama-Guard-3-1B,1.5,2.79
EleutherAI/gpt-neo-2.7B,2.7,19.88
mlabonne/NeuralMonarch-7B,7.2,13.49
unsloth/Qwen3-8B,8.2,15.26
Qwen/Qwen3-30B-A3B-GPTQ-Int4,4.7,15.77
